region_name,date,temp_mean_anomaly,temp_mean_anomaly_threshold,day,day_intensity
铜仁市,2023-6-1,-2.258589551,0.0681507467324066,0,0
黔西南布依族苗族自治州,2023-6-1,3.2928669577459324,1.2490800502051935,1,2.043786907540739
黔东南苗族侗族自治州,2023-6-1,-0.046682705,0.2430039129777481,0,0
黔南布依族苗族自治州,2023-6-1,1.8595730472034653,0.3573175852742156,1,1.5022554619292496
昆明市,2023-6-1,6.806403637570288,1.8947659646044532,1,4.911637672965835
曲靖市,2023-6-1,4.407834045239902,1.5359472600927049,1,2.871886785147197
玉溪市,2023-6-1,6.091406423809509,2.175534025344637,1,3.9158723984648725
保山市,2023-6-1,3.258681692074177,2.169992713509213,1,1.0886889785649636
昭通市,2023-6-1,-0.610063816,0.7842570939521313,0,0
丽江市,2023-6-1,5.795802081535193,2.8423647068615328,1,2.95343737467366
普洱市,2023-6-1,5.260105535212343,2.6721801817945536,1,2.5879253534177895
临沧市,2023-6-1,4.318752002139576,3.063423842169421,1,1.2553281599701553
楚雄彝族自治州,2023-6-1,7.04240846361304,3.2260595743964213,1,3.816348889216619
红河哈尼族彝族自治州,2023-6-1,5.075130530617411,1.55414997704386,1,3.520980553573551
文山壮族苗族自治州,2023-6-1,5.058117736164078,1.4605593769349947,1,3.5975583592290836
西双版纳傣族自治州,2023-6-1,4.682322801054514,2.6094057560090067,1,2.0729170450455077
大理白族自治州,2023-6-1,4.517788588723423,2.776659885875738,1,1.7411287028476852
德宏傣族景颇族自治州,2023-6-1,2.24553629987912,2.1764591165680307,1,0.06907718331108947
怒江傈僳族自治州,2023-6-1,1.1170358981359565,0.2978978243382066,1,0.8191380737977498
迪庆藏族自治州,2023-6-1,1.1195043679933754,0.3747595837400012,1,0.7447447842533742
西安市,2023-6-1,-3.958988256,0.7123476061650793,0,0
铜川市,2023-6-1,-3.501288628,1.734339509792984,0,0
宝鸡市,2023-6-1,-3.373463226,0.3612373403658346,0,0
咸阳市,2023-6-1,-4.061835391,1.535603900354746,0,0
渭南市,2023-6-1,-4.0459196,1.570360989944285,0,0
延安市,2023-6-1,-2.6163682,1.3301215707627347,0,0
汉中市,2023-6-1,-3.615140183,0.1432510367337348,0,0
榆林市,2023-6-1,-4.60839695,1.6045897005099885,0,0
安康市,2023-6-1,-3.07383899,0.3217461493548343,0,0
商洛市,2023-6-1,-2.740599063,0.6594358707388435,0,0
兰州市,2023-6-1,-4.855406499,1.0529599449268263,0,0
嘉峪关市,2023-6-1,-4.700100093,1.1348955349165568,0,0
金昌市,2023-6-1,-3.745956038,1.519009364052394,0,0
白银市,2023-6-1,-4.379630855,1.3463889006209997,0,0
天水市,2023-6-1,-3.055321587,0.020738377293965,0,0
武威市,2023-6-1,-4.363816397,1.398047052721588,0,0
张掖市,2023-6-1,-3.362801525,0.7285215330684397,0,0
平凉市,2023-6-1,-2.803926778,0.6022555143928708,0,0
酒泉市,2023-6-1,-4.566821565,0.6036889259771259,0,0
庆阳市,2023-6-1,-2.319612638,1.1941311568403274,0,0
定西市,2023-6-1,-3.342653634,0.3581476814220913,0,0
陇南市,2023-6-1,-3.448286995,-0.061073454,0,0
临夏回族自治州,2023-6-1,-4.840281407,0.7556264462182101,0,0
甘南藏族自治州,2023-6-1,-3.094884205,-0.168782773,0,0
西宁市,2023-6-1,-3.835274967,0.21411658679075,0,0
海东市,2023-6-1,-5.122248407,0.4250914318572235,0,0
海北藏族自治州,2023-6-1,-3.076611793,-0.715351091,0,0
黄南藏族自治州,2023-6-1,-2.745862362,-0.292779287,0,0
海南藏族自治州,2023-6-1,-2.885064656,-0.258924198,0,0
果洛藏族自治州,2023-6-1,1.0701611958463824,-0.545579158,1,1.6157403537561277
玉树藏族自治州,2023-6-1,-0.663593253,-1.350507277,1,0.686914024100902
海西蒙古族藏族自治州,2023-6-1,-2.171519691,-0.503258302,0,0
阿拉尔市,2023-6-1,-1.65123936,1.6316990609992523,0,0
北屯市,2023-6-1,-6.695241333,1.873381853774967,0,0
胡杨河市,2023-6-1,-3.996525347,1.5853922320001,0,0
可克达拉市,2023-6-1,-1.043230561,1.4261167761834217,0,0
昆玉市,2023-6-1,-1.968731051,1.0424773133757914,0,0
石河子市,2023-6-1,-4.686750046,0.9983920506902496,0,0
双河市,2023-6-1,-2.856531649,1.2801585506011186,0,0
图木舒克市,2023-6-1,-2.22096462,1.4133071822269396,0,0
五家渠市,2023-6-1,-4.22385427,1.9082452310725084,0,0
铁门关市,2023-6-1,-3.955563445,1.2055672935222803,0,0
新星市,2023-6-1,-5.503894154,1.3762435265098734,0,0
白杨市,2023-6-1,-4.813926392,0.9065459619422176,0,0
呼和浩特市,2023-6-1,-5.217342672,1.7461235271612638,0,0
包头市,2023-6-1,-6.731596485,2.2626646609792487,0,0
乌海市,2023-6-1,-6.233675331,1.860842412488764,0,0
赤峰市,2023-6-1,-5.570646557,1.901160149249743,0,0
通辽市,2023-6-1,-5.074116724,1.652818376167489,0,0
鄂尔多斯市,2023-6-1,-5.528015551,1.808447247120764,0,0
呼伦贝尔市,2023-6-1,-5.079208882,1.0227644626384222,0,0
巴彦淖尔市,2023-6-1,-6.953226246,2.0058261392959253,0,0
乌兰察布市,2023-6-1,-6.680619185,1.8975677970291829,0,0
兴安盟,2023-6-1,-5.475417657,1.6829739490069076,0,0
锡林郭勒盟,2023-6-1,-6.946841526,1.6678228315562005,0,0
阿拉善盟,2023-6-1,-6.191087393,1.2134123351948976,0,0
南宁市,2023-6-1,2.6770597485808345,0.6226227397978317,1,2.054437008783003
柳州市,2023-6-1,2.2300582587509084,0.2299234408114958,1,2.0001348179394127
桂林市,2023-6-1,1.1897786750387844,0.103898203886444,1,1.0858804711523404
梧州市,2023-6-1,1.8926233777610728,0.1508944076973347,1,1.7417289700637382
北海市,2023-6-1,1.768844037742138,0.7638244627625018,1,1.0050195749796362
防城港市,2023-6-1,2.4230916161075484,0.7396990407774562,1,1.6833925753300922
钦州市,2023-6-1,2.114951191071526,0.7381062970688385,1,1.3768448940026876
贵港市,2023-6-1,2.3388728021510943,0.2889512153370858,1,2.0499215868140084
玉林市,2023-6-1,2.2759715079935674,0.4940304561792247,1,1.7819410518143428
百色市,2023-6-1,3.96842803583975,1.090175496930707,1,2.8782525389090434
贺州市,2023-6-1,1.5039858719812962,0.1114002479429912,1,1.392585624038305
河池市,2023-6-1,3.06141342561072,0.3841145594072782,1,2.677298866203442
来宾市,2023-6-1,2.388403953922648,0.2922874150000486,1,2.0961165389225993
崇左市,2023-6-1,4.418686489096661,1.051343536736162,1,3.3673429523604987
拉萨市,2023-6-1,-1.170788298,0.0509292159127004,0,0
日喀则市,2023-6-1,-3.044082899,-0.24854115,0,0
昌都市,2023-6-1,-0.060713651,-0.355801572,1,0.29508792077258605
林芝市,2023-6-1,-1.685818194,-0.991670609,0,0
山南市,2023-6-1,-1.010491469,-0.411921481,0,0
那曲市,2023-6-1,-2.489963796,-0.885313357,0,0
阿里地区,2023-6-1,-5.953964879,-1.205077513,0,0
银川市,2023-6-1,-4.115544106,1.459634480349911,0,0
石嘴山市,2023-6-1,-4.719668856,1.6209538445178144,0,0
吴忠市,2023-6-1,-3.805698835,1.4117155844698317,0,0
固原市,2023-6-1,-2.074033883,0.4245374731671166,0,0
中卫市,2023-6-1,-3.56504755,1.4494674140522137,0,0
乌鲁木齐市,2023-6-1,-5.656985726,1.3104791704421843,0,0
克拉玛依市,2023-6-1,-5.290956286,1.7732253829876856,0,0
吐鲁番市,2023-6-1,-4.684819287,1.554358999772536,0,0
哈密市,2023-6-1,-5.63472404,1.4229539129804858,0,0
昌吉回族自治州,2023-6-1,-5.01597464,1.698432243054659,0,0
博尔塔拉蒙古自治州,2023-6-1,-3.408517871,0.5618736017779303,0,0
巴音郭楞蒙古自治州,2023-6-1,-4.412521949,0.2275538085001162,0,0
阿克苏地区,2023-6-1,-2.614725392,1.3034658933735424,0,0
克孜勒苏柯尔克孜自治州,2023-6-1,-4.273430852,-0.747593066,0,0
喀什地区,2023-6-1,-3.42324959,-0.69493795,0,0
和田地区,2023-6-1,-3.889815925,-0.597866431,0,0
伊犁哈萨克自治州,2023-6-1,-2.734658451,0.1203929945556739,0,0
塔城地区,2023-6-1,-5.302943833,1.2407924208360812,0,0
阿勒泰地区,2023-6-1,-6.596632629,1.294974290757691,0,0
澳门特别行政区,2023-6-2,,,0,0
香港特别行政区,2023-6-2,2.174205244028567,0.3711379150956573,1,1.8030673289329096
北京市,2023-6-2,-1.977107431,2.1278532383542275,0,0
上海市,2023-6-2,-1.813598371,-2.102491353,1,0.28889298212481407
天津市,2023-6-2,-1.519087248,2.0079292948280307,0,0
重庆市,2023-6-2,-3.198539486,-0.05256737,0,0
白沙黎族自治县,2023-6-2,2.3679467275530968,1.4098707141168425,1,0.9580760134362543
保亭黎族苗族自治县,2023-6-2,2.5149226469315344,1.263784875216056,1,1.2511377717154784
昌江黎族自治县,2023-6-2,2.0921312623816206,1.6313246746161458,1,0.4608065877654748
澄迈县,2023-6-2,3.485065687288049,1.370645408274899,1,2.1144202790131503
定安县,2023-6-2,3.1093725911936936,1.407334761259685,1,1.7020378299340087
东方市,2023-6-2,2.2104047463453327,1.678576636789516,1,0.5318281095558166
济源市,2023-6-2,-5.071197252,1.7674428112925125,0,0
乐东黎族自治县,2023-6-2,2.4702287588870853,1.2469644240930309,1,1.2232643347940544
临高县,2023-6-2,3.4186782149708748,1.482881227322212,1,1.9357969876486627
陵水黎族自治县,2023-6-2,1.982499616965029,1.272211546818506,1,0.7102880701465231
潜江市,2023-6-2,-1.712519634,0.469719799577236,0,0
琼海市,2023-6-2,2.362328117529973,1.2929009766797142,1,1.069427140850259
琼中黎族苗族自治县,2023-6-2,2.553977939876724,1.322453571644196,1,1.231524368232528
神农架林区,2023-6-2,-3.90198881,-0.043924211,0,0
台湾省,2023-6-2,0.9863488929256904,0.0904636205337624,1,0.895885272391928
天门市,2023-6-2,-2.288447821,0.4272626007077974,0,0
屯昌县,2023-6-2,3.0525936038331807,1.3738469779992415,1,1.6787466258339392
万宁市,2023-6-2,1.9572036680206573,1.2034861470730809,1,0.7537175209475764
文昌市,2023-6-2,2.540174994554388,1.1468228305880923,1,1.3933521639662958
五指山市,2023-6-2,2.5729613945073595,1.188298367556126,1,1.3846630269512334
仙桃市,2023-6-2,-1.860881269,0.392477971196605,0,0
石家庄市,2023-6-2,-3.146585062,2.034338092893326,0,0
