region_name,date,temp_min_mean30
陵水黎族自治县,06-01_to_08-31,24.705357019416546
随州市,06-01_to_08-31,22.513785476542424
雅安市,06-01_to_08-31,13.69039408340825
青岛市,06-01_to_08-31,21.064507141597872
鞍山市,06-01_to_08-31,18.444155148175874
韶关市,06-01_to_08-31,22.783267211538284
香港特别行政区,06-01_to_08-31,25.51832806719356
马鞍山市,06-01_to_08-31,23.639123986819094
驻马店市,06-01_to_08-31,22.494943036806013
鸡西市,06-01_to_08-31,16.22028234700165
鹤壁市,06-01_to_08-31,21.752489760789707
鹤岗市,06-01_to_08-31,15.51400191028319
鹰潭市,06-01_to_08-31,24.120938286715077
黄冈市,06-01_to_08-31,23.163049574396567
黄南藏族自治州,06-01_to_08-31,3.718697120094993
黄山市,06-01_to_08-31,22.2088993195158
黄石市,06-01_to_08-31,24.076007528666647
黑河市,06-01_to_08-31,14.681424686091624
黔东南苗族侗族自治州,06-01_to_08-31,20.7617236942658
黔南布依族苗族自治州,06-01_to_08-31,19.786863262228078
黔西南布依族苗族自治州,06-01_to_08-31,19.344735037302687
齐齐哈尔市,06-01_to_08-31,16.404153256682356
龙岩市,06-01_to_08-31,21.675659895234954
