region_name,date,temp_max_anomaly
陇南市,1998-05-25,-3.8479350452626306
临夏回族自治州,1998-05-25,-3.0219018521304477
甘南藏族自治州,1998-05-25,-0.8094571764584124
西宁市,1998-05-25,-2.3450691132899983
海东市,1998-05-25,-3.230755905525644
海北藏族自治州,1998-05-25,-3.221421570273982
黄南藏族自治州,1998-05-25,-1.2487462982875481
海南藏族自治州,1998-05-25,-0.9418952480832665
果洛藏族自治州,1998-05-25,-1.2663958404300288
玉树藏族自治州,1998-05-25,-1.9676249790755254
海西蒙古族藏族自治州,1998-05-25,-2.285025994485194
阿拉尔市,1998-05-25,0.802499765177771
北屯市,1998-05-25,0.09962528686049055
胡杨河市,1998-05-25,-2.4624505201927533
可克达拉市,1998-05-25,-7.830356464104131
昆玉市,1998-05-25,-0.3112025133910201
石河子市,1998-05-25,-2.6847454751471993
双河市,1998-05-25,-2.657627312048451
图木舒克市,1998-05-25,1.081202545406093
五家渠市,1998-05-25,-1.2653800055202389
铁门关市,1998-05-25,-2.4548768537646737
新星市,1998-05-25,-3.7413342817093245
白杨市,1998-05-25,-2.8746603699521174
呼和浩特市,1998-05-25,-6.219684204162842
包头市,1998-05-25,-5.576541506537197
乌海市,1998-05-25,-8.055911310891311
赤峰市,1998-05-25,-4.035016113722335
通辽市,1998-05-25,-3.29307723938102
鄂尔多斯市,1998-05-25,-7.110153447068882
呼伦贝尔市,1998-05-25,-11.94263373123977
巴彦淖尔市,1998-05-25,-4.924648395981841
乌兰察布市,1998-05-25,-5.74163373046461
兴安盟,1998-05-25,-7.175222055278713
锡林郭勒盟,1998-05-25,-8.097975977842673
阿拉善盟,1998-05-25,-5.029468531854725
南宁市,1998-05-25,-4.02873337770761
柳州市,1998-05-25,-4.0345475929918955
桂林市,1998-05-25,-4.980678775870494
梧州市,1998-05-25,-5.041364867291907
北海市,1998-05-25,-3.153440695533156
防城港市,1998-05-25,-3.727501363020849
钦州市,1998-05-25,-3.739174115074988
贵港市,1998-05-25,-4.36221354069292
玉林市,1998-05-25,-4.360569075162434
百色市,1998-05-25,-2.32265448013748
贺州市,1998-05-25,-4.934480186772191
河池市,1998-05-25,-3.1552825224563072
来宾市,1998-05-25,-4.39622740385278
崇左市,1998-05-25,-3.864635820335117
拉萨市,1998-05-25,0.21835285221409606
日喀则市,1998-05-25,0.21506978640450214
昌都市,1998-05-25,-2.4716066655180864
林芝市,1998-05-25,-0.7518921830126999
山南市,1998-05-25,0.5688729396475658
那曲市,1998-05-25,-0.9434036514561779
阿里地区,1998-05-25,-2.352715279917538
银川市,1998-05-25,-6.689250097684102
石嘴山市,1998-05-25,-7.1439361468034654
吴忠市,1998-05-25,-5.864755141527272
固原市,1998-05-25,-2.8139660498928976
中卫市,1998-05-25,-4.320972489441388
乌鲁木齐市,1998-05-25,-2.9757517453531293
克拉玛依市,1998-05-25,0.047961393674576414
吐鲁番市,1998-05-25,-4.180089979881991
哈密市,1998-05-25,-2.697136686300688
昌吉回族自治州,1998-05-25,-1.37040714217164
博尔塔拉蒙古自治州,1998-05-25,-3.46306981574325
巴音郭楞蒙古自治州,1998-05-25,-2.8281704962016434
阿克苏地区,1998-05-25,-0.1177908737435196
克孜勒苏柯尔克孜自治州,1998-05-25,-1.2766582409539815
喀什地区,1998-05-25,-0.6054931207398582
和田地区,1998-05-25,-1.3953647152788982
伊犁哈萨克自治州,1998-05-25,-5.3167881446307454
塔城地区,1998-05-25,-1.5844822948681845
阿勒泰地区,1998-05-25,-0.5707543836321136
澳门特别行政区,1998-05-26,
香港特别行政区,1998-05-26,-3.9347700123257887
北京市,1998-05-26,-1.2597121606988608
上海市,1998-05-26,-5.686163289445602
天津市,1998-05-26,0.2602127259347178
重庆市,1998-05-26,-1.5540602646788457
白沙黎族自治县,1998-05-26,-2.321259378302898
保亭黎族苗族自治县,1998-05-26,-0.8339346972067432
昌江黎族自治县,1998-05-26,-2.081410488098129
澄迈县,1998-05-26,-3.0438038459583474
定安县,1998-05-26,-2.798149144880206
东方市,1998-05-26,-1.400339557770554
济源市,1998-05-26,-1.0112512809625898
乐东黎族自治县,1998-05-26,-0.25707276860312334
临高县,1998-05-26,-3.153205359704671
陵水黎族自治县,1998-05-26,-1.4446722869973527
潜江市,1998-05-26,-2.641486324150616
琼海市,1998-05-26,-2.294007754253773
琼中黎族苗族自治县,1998-05-26,-2.211080099934101
神农架林区,1998-05-26,-0.3296968264776048
台湾省,1998-05-26,-3.2095953095381766
天门市,1998-05-26,-2.7488056065861493
屯昌县,1998-05-26,-2.8561478344983016
万宁市,1998-05-26,-1.9983633664716471
文昌市,1998-05-26,-3.1032093690660467
五指山市,1998-05-26,-0.9775023137450987
仙桃市,1998-05-26,-3.096281250543395
石家庄市,1998-05-26,1.2943015798120108
唐山市,1998-05-26,-1.039201910842877
秦皇岛市,1998-05-26,-1.81805440933989
邯郸市,1998-05-26,-0.1490585222664329
邢台市,1998-05-26,0.37439353898787786
保定市,1998-05-26,0.6365383523792687
张家口市,1998-05-26,-7.420204904666143
承德市,1998-05-26,-5.684064329681778
沧州市,1998-05-26,-0.26423274790907314
廊坊市,1998-05-26,0.8053452820417277
衡水市,1998-05-26,0.017316816415799963
太原市,1998-05-26,-1.6230678858996157
大同市,1998-05-26,-5.53825222863783
阳泉市,1998-05-26,0.0657333215398559
长治市,1998-05-26,-1.1121654462729254
晋城市,1998-05-26,-1.2033838405322648
朔州市,1998-05-26,-5.41988474096917
晋中市,1998-05-26,-0.8764592868660976
运城市,1998-05-26,-3.3252185237271554
忻州市,1998-05-26,-2.945010337691439
临汾市,1998-05-26,-2.112657334434438
吕梁市,1998-05-26,-1.7846544524876968
沈阳市,1998-05-26,-1.321309808767353
大连市,1998-05-26,-2.969711485531267
鞍山市,1998-05-26,-1.2591031948103826
抚顺市,1998-05-26,-1.504316649762238
本溪市,1998-05-26,-2.168573739063387
丹东市,1998-05-26,-3.4521794437052513
锦州市,1998-05-26,-4.062499434222346
营口市,1998-05-26,-1.1099515572977197
阜新市,1998-05-26,-3.5217599710814333
辽阳市,1998-05-26,-0.11686094645525102
盘锦市,1998-05-26,-4.3385052806420354
铁岭市,1998-05-26,-0.9711201549712634
朝阳市,1998-05-26,-3.38730021163234
葫芦岛市,1998-05-26,-2.8820331531634054
长春市,1998-05-26,-4.040878696885805
吉林市,1998-05-26,-1.6582856385265572
四平市,1998-05-26,-3.5298163508485025
辽源市,1998-05-26,-0.8277158151505546
通化市,1998-05-26,-2.0688634126230383
白山市,1998-05-26,-2.36778505627397
松原市,1998-05-26,-8.695872889239308
白城市,1998-05-26,-11.121602942291947
延边朝鲜族自治州,1998-05-26,-0.6448950437192202
哈尔滨市,1998-05-26,-4.00457247664572
齐齐哈尔市,1998-05-26,-7.954686478821991
鸡西市,1998-05-26,-1.099435118709188
鹤岗市,1998-05-26,-2.543709404037614
双鸭山市,1998-05-26,-0.8485465048044496
大庆市,1998-05-26,-10.096113638421794
