region_name,date,temp_min_anomaly_threshold
通化市,06-01,-1.5248669767944751
通辽市,06-01,-0.09954046006625163
遂宁市,06-01,-0.16648921152624208
遵义市,06-01,0.05533530970000411
邢台市,06-01,-0.010224951978440103
那曲市,06-01,-2.2217536887981155
邯郸市,06-01,-0.19874143594768695
邵阳市,06-01,-0.010910709446788899
郑州市,06-01,-0.1161274553509951
郴州市,06-01,-0.1931801716094262
鄂尔多斯市,06-01,0.6579951023422752
鄂州市,06-01,-0.7831145012001632
酒泉市,06-01,-0.10899728782215692
重庆市,06-01,-0.662540888373587
金华市,06-01,-0.9944604595423057
金昌市,06-01,0.06969999292815324
钦州市,06-01,0.761733636867129
铁岭市,06-01,-0.5622969558415267
铁门关市,06-01,0.05914794168935551
铜仁市,06-01,-0.08828396003479402
铜川市,06-01,0.07588054424130784
铜陵市,06-01,-1.3584676634648944
银川市,06-01,0.32962477507803734
锡林郭勒盟,06-01,0.0236782828228017
锦州市,06-01,-1.4341936903608563
镇江市,06-01,-1.8058184437051152
长春市,06-01,-0.43051734497026867
长沙市,06-01,-0.5673339729171489
长治市,06-01,-0.6743457520135356
阜新市,06-01,-0.9637919592589567
阜阳市,06-01,-0.2731935718092416
防城港市,06-01,0.7795473443630055
阳江市,06-01,0.44868874866861636
阳泉市,06-01,-0.4638751649832655
阿克苏地区,06-01,0.21276759622916985
阿勒泰地区,06-01,0.5046046633675186
阿坝藏族羌族自治州,06-01,-0.1987017022110831
阿拉善盟,06-01,0.305010367886331
阿拉尔市,06-01,0.5888909888680147
阿里地区,06-01,-2.7665062308649087
陇南市,06-01,-0.7917570427044844
陵水黎族自治县,06-01,0.9853597093304733
随州市,06-01,-0.45285067856512
雅安市,06-01,-8.715165385898057e-05
青岛市,06-01,-2.3331491548658136
鞍山市,06-01,-2.373577860303664
韶关市,06-01,-0.05442093877602848
香港特别行政区,06-01,0.2794499340188066
马鞍山市,06-01,-1.5643912094044652
驻马店市,06-01,-0.1760121668141845
鸡西市,06-01,-1.7892143264094527
鹤壁市,06-01,-0.011776272165088655
鹤岗市,06-01,-0.9305956668006279
鹰潭市,06-01,-0.6168903571401252
黄冈市,06-01,-0.9357785849484587
黄南藏族自治州,06-01,-0.558817552486806
黄山市,06-01,-1.0750083077201886
黄石市,06-01,-0.6967061398759227
黑河市,06-01,-0.8448144067699208
黔东南苗族侗族自治州,06-01,0.25810775382635676
黔南布依族苗族自治州,06-01,0.5828498344530954
黔西南布依族苗族自治州,06-01,0.6546736778629056
齐齐哈尔市,06-01,-0.1582372657918089
龙岩市,06-01,-0.0478382875499121
七台河市,06-02,-0.8989590536733014
万宁市,06-02,1.0741621478398278
三亚市,06-02,1.0486726031383011
三明市,06-02,-0.2390174924615787
三门峡市,06-02,-0.5972207140515335
上海市,06-02,-2.3629692997004295
上饶市,06-02,-0.7422307656725387
东方市,06-02,1.613985146324798
东莞市,06-02,0.19266926770938492
东营市,06-02,-0.7170089297198156
中卫市,06-02,0.04406316035015242
中山市,06-02,0.18735115278760442
临夏回族自治州,06-02,-0.1717165710941564
临汾市,06-02,-0.359016762158351
临沂市,06-02,-1.1556182036527411
临沧市,06-02,0.7076049305501719
临高县,06-02,1.0440963507962986
丹东市,06-02,-2.8829576460484176
丽水市,06-02,-0.44409622258507125
丽江市,06-02,0.5510430874896857
乌兰察布市,06-02,0.6015185823096865
乌海市,06-02,0.6540433849209923
乌鲁木齐市,06-02,0.5573080239270488
乐东黎族自治县,06-02,1.0455520358135784
乐山市,06-02,0.08688757768175931
九江市,06-02,-0.7768105093734272
云浮市,06-02,0.23818630993369744
五家渠市,06-02,1.1885356795037971
五指山市,06-02,0.8664191736261705
亳州市,06-02,-0.05860332348202015
仙桃市,06-02,-0.5332355363633728
伊春市,06-02,-1.1039988652739143
伊犁哈萨克自治州,06-02,-0.0465050956429341
佛山市,06-02,0.23423210650895193
佳木斯市,06-02,-0.8854677345150664
保亭黎族苗族自治县,06-02,0.9043718162180796
保定市,06-02,0.1188434618349768
保山市,06-02,0.15485283704673372
信阳市,06-02,-0.3961707668828089
儋州市,06-02,1.3568434905105893
克孜勒苏柯尔克孜自治州,06-02,-1.5022238140536954
克拉玛依市,06-02,1.128743943983878
六安市,06-02,-0.8564615889878291
六盘水市,06-02,0.8154207045110096
兰州市,06-02,-0.24008181184608646
兴安盟,06-02,-0.328411510423006
内江市,06-02,0.04812238921681172
凉山彝族自治州,06-02,0.5018844900267695
包头市,06-02,1.013504087304561
北京市,06-02,-0.10223929679570555
北屯市,06-02,0.9361955904926059
北海市,06-02,0.7519573150693555
十堰市,06-02,-0.6064821127235127
南京市,06-02,-1.525968531687171
南充市,06-02,-0.3601519527958721
南宁市,06-02,0.4132799482963249
南平市,06-02,-0.5577962412613072
南昌市,06-02,-0.7061447929651706
南通市,06-02,-2.1207179815069086
南阳市,06-02,-0.026824178586608717
博尔塔拉蒙古自治州,06-02,0.42487669213692436
厦门市,06-02,-0.07700918816178065
双河市,06-02,0.9149478872801351
双鸭山市,06-02,-1.1581544930203869
可克达拉市,06-02,0.7924972646357307
台州市,06-02,-0.992900736582387
台湾省,06-02,0.0790099577686672
合肥市,06-02,-1.1687910002352342
吉安市,06-02,-0.2534189258717255
吉林市,06-02,-1.1687750127434564
吐鲁番市,06-02,1.0151978808174966
吕梁市,06-02,0.10327965527008935
吴忠市,06-02,0.245401772491093
周口市,06-02,0.07572511149947125
呼伦贝尔市,06-02,-0.5864928854417462
呼和浩特市,06-02,0.4882523640115136
和田地区,06-02,-1.3939686407512435
咸宁市,06-02,-0.766231866932354
咸阳市,06-02,-0.027425684313710428
哈密市,06-02,1.0308148337016094
哈尔滨市,06-02,-0.7202601011273981
唐山市,06-02,-0.6902334987314134
商丘市,06-02,-0.12629478241413683
商洛市,06-02,-0.5027348052956124
喀什地区,06-02,-1.4467475967605836
嘉兴市,06-02,-2.01646002170174
嘉峪关市,06-02,0.3499236965706384
四平市,06-02,-0.23674031668886292
固原市,06-02,-0.6073756178445185
图木舒克市,06-02,0.09671240714099273
塔城地区,06-02,0.6869277426314738
