region_name,date,temp_max_anomaly_threshold
湘潭市,06-02,0.6230542282941157
湘西土家族苗族自治州,06-02,1.0633958382192272
湛江市,06-02,1.3618147192533252
滁州市,06-02,1.8943360347672134
滨州市,06-02,3.5550256312351247
漯河市,06-02,4.222905326478133
漳州市,06-02,0.6438888700062576
潍坊市,06-02,2.8081903531176375
潜江市,06-02,1.6158764257771687
潮州市,06-02,0.8556954131097979
澄迈县,06-02,1.88698616473104
濮阳市,06-02,3.7386132771758085
烟台市,06-02,1.851348449023637
焦作市,06-02,3.756570607721723
牡丹江市,06-02,2.1384441338693527
玉林市,06-02,0.8826250624783396
玉树藏族自治州,06-02,-0.09932904732353512
玉溪市,06-02,3.5740412281041416
珠海市,06-02,0.5144360686765244
琼中黎族苗族自治县,06-02,1.6354654647447124
琼海市,06-02,1.6844894105794619
甘南藏族自治州,06-02,1.2722603358299622
甘孜藏族自治州,06-02,1.337687663832046
白城市,06-02,3.7454110893766703
白山市,06-02,1.2581077666848621
白杨市,06-02,2.07115537012952
白沙黎族自治县,06-02,1.637860303599793
白银市,06-02,2.7375946381219016
百色市,06-02,2.266225292100269
益阳市,06-02,1.220478149088224
盐城市,06-02,1.235682801409597
盘锦市,06-02,2.0693563189938344
眉山市,06-02,2.112516150355236
石嘴山市,06-02,2.7566069978545586
石家庄市,06-02,4.3126191410500665
石河子市,06-02,2.3593662211692203
神农架林区,06-02,1.2588319689980167
福州市,06-02,0.14177141213151873
秦皇岛市,06-02,2.6980325433580865
红河哈尼族彝族自治州,06-02,2.7858919828289017
绍兴市,06-02,0.23766953862210596
绥化市,06-02,2.9110652222858793
绵阳市,06-02,1.377406390595357
聊城市,06-02,3.4558778436455624
肇庆市,06-02,0.7225686010249769
胡杨河市,06-02,2.6245091654684205
自贡市,06-02,2.09694472183534
舟山市,06-02,-2.6246674866465707
芜湖市,06-02,1.3009929675863718
苏州市,06-02,0.15468935054215266
茂名市,06-02,0.9765685341504667
荆州市,06-02,1.3844836801208402
荆门市,06-02,1.861343001911309
莆田市,06-02,0.2568582405110508
菏泽市,06-02,3.757041567805013
萍乡市,06-02,0.7917381366991743
营口市,06-02,1.28940648583738
葫芦岛市,06-02,2.4431985880299374
蚌埠市,06-02,2.826830863630257
衡水市,06-02,3.831348187450085
衡阳市,06-02,0.4069371913530564
衢州市,06-02,0.647841160611296
襄阳市,06-02,2.921132969943661
西双版纳傣族自治州,06-02,4.264145756369898
西宁市,06-02,1.2495524236706284
西安市,06-02,2.8052487224787654
许昌市,06-02,4.415260587436097
贵港市,06-02,0.8263713946310535
贵阳市,06-02,1.390269647689728
贺州市,06-02,0.5357769105554756
资阳市,06-02,1.6091520020132486
赣州市,06-02,0.5553017873225822
赤峰市,06-02,4.178265979548005
辽源市,06-02,2.5946090335162197
辽阳市,06-02,2.399752624263665
达州市,06-02,0.587876790083886
运城市,06-02,3.417986747500787
连云港市,06-02,2.651769575842777
迪庆藏族自治州,06-02,1.5768859634083707
通化市,06-02,1.693508715888266
